date,open,high,low,close,to symbol,from symbol
2020-01-12,6.9745,6.975,6.8837,6.9093,CNY,USD
2020-01-05,6.9857,6.9859,6.9575,6.9645,CNY,USD
2019-12-29,7.0118,7.0131,6.9768,6.9948,CNY,USD
2019-12-22,6.9816,7.0148,6.9816,7.0057,CNY,USD
2019-12-15,7.0382,7.0402,6.9601,6.9719,CNY,USD
2019-12-08,7.0383,7.0727,7.0216,7.0343,CNY,USD
2019-12-01,7.0355,7.0435,7.0143,7.0315,CNY,USD
2019-11-24,7.025,7.0437,7.0156,7.0383,CNY,USD
2019-11-17,7.0096,7.0273,6.9933,7.0073,CNY,USD
2019-11-10,7.0294,7.0294,6.963,6.995,CNY,USD
2019-11-03,7.0669,7.0669,7.016,7.0364,CNY,USD
2019-10-27,7.0663,7.0851,7.0524,7.0647,CNY,USD
2019-10-20,7.0666,7.1019,7.0584,7.0807,CNY,USD
2019-10-13,7.1475,7.1523,7.0498,7.0872,CNY,USD
2019-10-06,7.1384,7.1476,7.1384,7.1474,CNY,USD
2019-09-29,7.1175,7.1474,7.0945,7.1218,CNY,USD
2019-09-22,7.0663,7.1275,7.0663,7.0906,CNY,USD
2019-09-15,7.121,7.1214,7.0558,7.0784,CNY,USD
2019-09-08,7.162,7.1839,7.1053,7.1147,CNY,USD
2019-09-01,7.1504,7.1725,7.1319,7.1557,CNY,USD
2019-08-25,7.0408,7.1515,7.0408,7.095,CNY,USD
2019-08-18,7.0482,7.0679,7.0045,7.0419,CNY,USD
2019-08-11,7.0498,7.069,7.0095,7.0615,CNY,USD
2019-08-04,6.8924,7.0516,6.8702,6.9392,CNY,USD
2019-07-28,6.8802,6.8937,6.8625,6.8782,CNY,USD
2019-07-21,6.8768,6.8821,6.8639,6.8811,CNY,USD
2019-07-14,6.8719,6.8884,6.8555,6.8798,CNY,USD
2019-07-07,6.8507,6.8939,6.8449,6.8926,CNY,USD
2019-06-30,6.8761,6.8909,6.8316,6.8658,CNY,USD
2019-06-23,6.9248,6.9291,6.8271,6.8689,CNY,USD
2019-06-16,6.93,6.9303,6.9014,6.9245,CNY,USD
2019-06-09,6.8938,6.9347,6.8938,6.9088,CNY,USD
2019-06-02,6.8972,6.9167,6.8919,6.9041,CNY,USD
2019-05-26,6.9023,6.9187,6.8814,6.8993,CNY,USD
2019-05-19,6.8773,6.9213,6.8601,6.9177,CNY,USD
2019-05-12,6.7635,6.8808,6.7555,6.8231,CNY,USD
2019-05-05,6.7324,6.7703,6.7242,6.7336,CNY,USD
2019-04-28,6.7083,6.7479,6.7068,6.7288,CNY,USD
2019-04-21,6.6987,6.7131,6.6771,6.7034,CNY,USD
2019-04-14,6.7064,6.7219,6.6955,6.7032,CNY,USD
2019-04-07,6.7015,6.7233,6.6973,6.7169,CNY,USD
2019-03-31,6.7084,6.7387,6.6977,6.7111,CNY,USD
2019-03-24,6.7031,6.7186,6.6648,6.7171,CNY,USD
2019-03-17,6.7254,6.7283,6.6969,6.7128,CNY,USD
2019-03-10,6.7062,6.7257,6.6884,6.7206,CNY,USD
2019-03-03,6.6884,6.7091,6.6688,6.7054,CNY,USD
2019-02-24,6.7657,6.779,6.6767,6.7132,CNY,USD
2019-02-17,6.7914,6.7926,6.7495,6.7721,CNY,USD
2019-02-10,6.7438,6.792,6.7348,6.7438,CNY,USD
2019-02-03,6.7442,6.752,6.6868,6.7438,CNY,USD
2019-01-27,6.7972,6.8096,6.7277,6.7464,CNY,USD
2019-01-20,6.7671,6.7984,6.7365,6.7778,CNY,USD
2019-01-13,6.85,6.8598,6.7313,6.762,CNY,USD
2019-01-06,6.8776,6.8817,6.8396,6.8684,CNY,USD
2018-12-30,6.8981,6.8984,6.8445,6.8772,CNY,USD
2018-12-23,6.8962,6.911,6.8751,6.9054,CNY,USD
2018-12-16,6.9109,6.9138,6.8626,6.9066,CNY,USD
2018-12-09,6.8821,6.9133,6.8218,6.8747,CNY,USD
2018-12-02,6.9308,6.9595,6.876,6.958,CNY,USD
2018-11-25,6.941,6.9484,6.917,6.9475,CNY,USD
2018-11-18,6.9625,6.9688,6.928,6.937,CNY,USD
2018-11-11,6.9248,6.968,6.9042,6.9559,CNY,USD
2018-11-04,6.9519,6.9761,6.8676,6.8899,CNY,USD
2018-10-28,6.9375,6.9632,6.9261,6.9425,CNY,USD
2018-10-21,6.9158,6.9465,6.9013,6.9286,CNY,USD
2018-10-14,6.9208,6.9318,6.8858,6.9212,CNY,USD
2018-10-07,6.8589,6.9323,6.8589,6.8589,CNY,USD
2018-09-30,6.8734,6.891,6.8523,6.8679,CNY,USD
2018-09-23,6.8559,6.8778,6.8295,6.8567,CNY,USD
2018-09-16,6.8551,6.8783,6.8243,6.8656,CNY,USD
2018-09-09,6.8228,6.8653,6.7975,6.8391,CNY,USD
2018-09-02,6.8105,6.8455,6.7907,6.8346,CNY,USD
2018-08-26,6.8478,6.8897,6.7929,6.8006,CNY,USD
2018-08-19,6.8901,6.9338,6.8395,6.8766,CNY,USD
2018-08-12,6.8529,6.8903,6.798,6.8462,CNY,USD
2018-08-05,6.805,6.8927,6.7843,6.8332,CNY,USD
2018-07-29,6.783,6.8387,6.7318,6.8127,CNY,USD
2018-07-22,6.6811,6.8092,6.6655,6.7581,CNY,USD
2018-07-15,6.6156,6.7044,6.5904,6.6946,CNY,USD
2018-07-08,6.6675,6.7143,6.5978,6.6392,CNY,USD
2018-07-01,6.53,6.6688,6.5253,6.6243,CNY,USD
2018-06-24,6.4294,6.5435,6.4294,6.5043,CNY,USD
2018-06-17,6.3918,6.4428,6.3807,6.433,CNY,USD
2018-06-10,6.4071,6.4123,6.3776,6.4057,CNY,USD
2018-06-03,6.3893,6.4326,6.3893,6.4194,CNY,USD
2018-05-27,6.3807,6.399,6.3558,6.3686,CNY,USD
2018-05-20,6.3293,6.3951,6.3293,6.3828,CNY,USD
